Date,Dividends
2011-08-29,0.113
2006-11-28,0.123
2007-05-29,0.168
2015-02-25,0.062
2010-11-26,0.123
2011-05-27,0.114
2015-08-27,0.027
2011-02-24,0.119
2016-05-27,0.026
2020-08-28,0.105
1997-11-26,0.04
1999-05-27,0.05
2018-11-29,0.04
2020-05-28,0.096
1995-05-25,0.03
2012-05-29,0.197
2016-08-29,0.026
2014-11-26,0.056
2006-05-29,0.123
2012-02-27,0.15
2007-11-28,0.168
2014-08-27,0.055
2010-05-27,0.203
2016-02-25,0.027
2020-11-27,0.117
2003-11-27,0.073
2010-08-27,0.125
1998-05-27,0.045
1998-11-26,0.045
2019-05-30,0.054
2019-11-28,0.066
2011-11-28,0.152
2015-05-27,0.062
2015-11-26,0.027
2019-08-29,0.053
2020-02-27,0.093
2013-02-26,0.2
2008-11-26,0.254
2009-05-27,0.244
2013-08-28,0.052
2018-12-27,0.095
2004-11-26,0.065
2005-05-27,0.087
2021-02-26,0.113
1995-11-28,0.03
1997-05-28,0.04
2016-11-28,0.027
1999-11-26,0.05
2018-05-30,0.039
2017-02-24,0.039
2014-05-28,0.054
2012-11-28,0.2
2018-08-30,0.039
2005-11-28,0.129
2008-05-28,0.202
2014-02-26,0.055
2009-11-26,0.213
2012-08-29,0.204
2004-05-27,0.075
1996-05-29,0.035
1996-11-27,0.035
2021-08-30,0.29
2017-11-29,0.038
2021-05-27,0.279
2017-08-29,0.038
2018-02-27,0.038
2013-05-29,0.208
2013-11-27,0.053
2013-05-30,0.205
