Date,IBM_Monthly_Return
2012-12-31,0.78%
2012-11-30,-1.86%
2012-10-31,-6.23%
2012-09-28,6.47%
2012-08-31,-0.14%
2012-07-31,0.20%
2012-06-29,1.39%
2012-05-31,-6.44%
2012-04-30,-0.75%
2012-03-30,6.06%
2012-02-29,2.53%
2012-01-31,4.74%
2011-12-30,-2.19%
2011-11-30,2.23%
2011-10-31,5.58%
2011-09-30,1.72%
2011-08-31,-5.05%
2011-07-29,6.00%
2011-06-30,1.55%
2011-05-31,-0.53%
2011-04-29,4.61%
2011-03-31,0.74%
2011-02-28,0.33%
2011-01-31,10.38%
2010-12-31,3.75%
2010-11-30,-1.04%
2010-10-29,7.05%
2010-09-30,8.94%
2010-08-31,-3.60%
2010-07-30,3.98%
2010-06-30,-1.42%
2010-05-28,-2.40%
2010-04-30,0.58%
2010-03-31,0.86%
2010-02-26,4.35%
2010-01-29,-6.50%
2009-12-31,3.60%
2009-11-30,5.22%
2009-10-30,0.84%
2009-09-30,1.32%
2009-08-31,0.57%
2009-07-31,12.94%
2009-06-30,-1.75%
2009-05-29,3.51%
2009-04-30,6.52%
2009-03-31,5.28%
2009-02-27,0.96%
2009-01-30,8.90%
2008-12-31,3.14%
2008-11-28,-11.69%
2008-10-31,-20.51%
2008-09-30,-3.92%
2008-08-29,-4.49%
2008-07-31,7.97%
2008-06-30,-8.42%
2008-05-30,7.65%
2008-04-30,4.83%
2008-03-31,1.12%
2008-02-29,6.68%
2008-01-31,-0.92%
2007-12-31,2.78%
2007-11-30,-9.08%
2007-10-31,-1.43%
2007-09-28,0.95%
2007-08-31,5.82%
2007-07-31,5.13%
2007-06-29,-1.27%
2007-05-31,4.69%
2007-04-30,8.43%
2007-03-30,1.42%
2007-02-28,-5.96%
2007-01-31,2.06%
2006-12-29,5.69%
2006-11-30,-0.12%
2006-10-31,12.68%
2006-09-29,1.20%
2006-08-31,4.99%
2006-07-31,0.77%
2006-06-30,-3.85%
2006-05-31,-2.60%
2006-04-28,-0.16%
2006-03-31,2.78%
2006-02-28,-1.06%
2006-01-31,-1.09%
2005-12-30,-7.54%
2005-11-30,8.82%
2005-10-31,2.07%
2005-09-30,-0.50%
2005-08-31,-3.16%
2005-07-29,12.48%
2005-06-30,-1.79%
2005-05-31,-0.82%
2005-04-29,-16.41%
2005-03-31,-1.30%
2005-02-28,-0.71%
2005-01-31,-5.23%
2004-12-31,4.61%
2004-11-30,5.20%
2004-10-29,4.68%
2004-09-30,1.24%
2004-08-31,-2.53%
2004-07-30,-1.23%
2004-06-30,-0.50%
2004-05-28,0.68%
2004-04-30,-4.00%
2004-03-31,-4.83%
2004-02-27,-2.59%
2004-01-30,7.07%
2003-12-31,2.36%
2003-11-28,1.36%
2003-10-31,1.30%
2003-09-30,7.71%
2003-08-29,1.13%
2003-07-31,-1.52%
2003-06-30,-6.29%
2003-05-30,3.89%
2003-04-30,8.25%
2003-03-31,0.62%
2003-02-28,-0.13%
2003-01-31,0.90%
