Date,Dividends
"August 30, 2021",0.09
"May 27, 2021",0.36
"February 26, 2021",0.09
"November 27, 2020",0.09
"August 28, 2020",0.08
"May 28, 2020",0.07
"February 27, 2020",0.07
"November 27, 2019",0.05
"August 29, 2019",0.04
"May 30, 2019",0.04
"December 27, 2018",0.04
"November 29, 2018",0.03
"August 30, 2018",0.03
"May 30, 2018",0.03
"February 27, 2018",0.03
"November 29, 2017",0.03
"August 29, 2017",0.03
"May 26, 2017",0.03
"February 24, 2017",0.03
"November 28, 2016",0.02
"August 29, 2016",0.02
"May 26, 2016",0.02
"February 25, 2016",0.02
"November 25, 2015",0.02
"August 27, 2015",0.02
"May 27, 2015",0.05
"February 25, 2015",0.05
"November 25, 2014",0.05
"August 27, 2014",0.05
"May 28, 2014",0.05
"February 26, 2014",0.05
"November 26, 2013",0.05
"August 28, 2013",0.05
"May 29, 2013",0.2
"February 26, 2013",0.2
"November 28, 2012",0.2
"August 29, 2012",0.2
"May 29, 2012",0.2
"February 27, 2012",0.15
"November 28, 2011",0.15
"August 29, 2011",0.12
"May 26, 2011",0.12
"February 24, 2011",0.12
"November 26, 2010",0.12
"August 27, 2010",0.12
"May 26, 2010",0.2
"November 25, 2009",0.2
"May 27, 2009",0.2
"November 25, 2008",0.2
"May 28, 2008",0.2
"November 28, 2007",0.15
"May 29, 2007",0.15
"November 28, 2006",0.11
"May 26, 2006",0.11
"November 28, 2005",0.11
"May 26, 2005",0.11
"November 26, 2004",0.11
"May 26, 2004",0.11
"November 26, 2003",0.11
"May 28, 2003",0.11
"December 4, 2002",0.11
"May 29, 2002",0.11
"November 28, 2001",0.11
"May 29, 2001",0.11
"November 28, 2000",0.11
