Date,Dividends
2007-12-20,1.277
2005-12-23,0.667
2003-12-22,0.43
2001-12-24,0.04
2015-12-21,0.509
2017-06-20,0.47
2017-12-19,0.559
2013-06-27,0.542
2015-06-25,0.53
2013-12-27,0.024
1996-12-23,0.115
1998-12-22,0.016
2009-06-23,0.048
2009-12-22,0.615
2011-12-20,0.652
1997-08-25,0.329
2011-06-22,0.435
2013-12-18,0.576
2021-06-10,0.376
1999-08-25,0.235
2001-08-24,0.19
2019-06-17,0.443
2019-12-16,0.456
2006-12-20,1.1
2004-12-23,0.575
2000-12-20,0.032
2002-12-23,0.265
2018-06-19,0.432
2018-12-18,0.745
2014-06-25,0.393
2016-06-22,0.276
2016-12-21,0.54
1997-12-23,0.063
1999-12-21,0.017
2003-12-16,0.27
2008-12-23,0.89
2010-12-21,0.627
2012-12-18,0.895
1996-08-26,0.187
2014-12-17,0.697
1998-08-25,0.167
2010-06-23,0.203
2012-06-21,0.456
2000-08-24,0.233
2020-06-15,0.284
2020-12-14,0.2
