Date,Dividends
2005-12-23,0.149
2007-12-24,0.389
2003-12-22,0.202
2001-12-24,0.01
2015-12-21,0.29
2017-06-20,0.215
2017-12-19,0.369
2013-06-27,0.304
2015-06-25,0.212
1996-12-23,0.023
1998-12-22,0.055
2009-06-23,0.09
2009-12-22,0.241
2011-12-20,0.353
1997-08-25,0.169
2011-06-22,0.206
2013-12-18,0.388
2021-06-10,0.233
1999-08-25,0.566
2001-08-24,0.075
2019-06-17,0.253
2019-12-16,0.394
2006-12-20,0.285
2004-12-23,0.198
2000-12-20,0.292
2002-12-23,0.03
2018-06-19,0.224
2018-12-18,0.409
2014-06-25,0.235
2016-06-22,0.196
2016-12-21,0.263
1997-12-23,0.07
1999-12-21,0.004
2003-12-16,0.03
2008-12-23,0.327
2010-12-21,0.318
2012-12-18,0.377
1996-08-26,0.041
2014-12-17,0.385
1998-08-25,0.642
2008-06-25,0.117
2010-06-23,0.18
2012-06-21,0.216
2000-08-24,5.057
2020-06-15,0.258
2020-12-14,0.385
