Date,Dividends
2005-12-23,0.116
2007-12-24,0.518
2003-12-22,0.201
2017-06-20,0.595
2017-12-19,0.084
2013-06-27,0.435
2015-06-25,0.506
1998-12-22,0.04
2009-06-23,0.544
2009-12-22,0.014
1997-08-25,0.131
2011-06-22,0.674
2021-06-10,0.603
1999-08-25,0.469
2001-08-24,0.189
2019-06-17,0.738
2006-12-20,0.508
2004-12-23,0.194
2002-12-23,0.122
2018-06-19,0.744
2014-06-25,0.631
2016-06-22,0.613
2016-12-21,0.009
1997-12-23,0.03
2008-12-23,0.073
1996-08-26,0.119
1998-08-25,0.273
2008-06-25,1.149
2010-06-23,0.285
2012-06-21,0.581
2000-08-24,2.532
2020-06-15,0.28
2020-12-14,0.387
