Date,Dividends
2007-12-20,1.624
2005-12-23,1.156
2003-12-22,0.416
2001-12-24,0.12
2015-12-21,10.988
2017-06-20,0.351
2017-12-19,1.49
2013-06-27,0.892
2015-06-25,0.636
2013-12-27,0.148
1998-12-22,0.036
2009-06-23,0.408
2009-12-22,0.568
2011-12-20,1.776
1997-08-25,0.108
2011-06-22,0.612
2013-12-18,0.88
2021-06-10,0.841
1999-08-25,0.068
2001-08-24,0.188
2019-06-17,0.518
2019-12-16,0.311
2006-12-20,0.78
2004-12-23,0.632
2000-12-20,0.06
1998-11-06,0.704
2002-12-23,0.372
2018-06-19,0.635
2018-12-18,0.508
2014-06-25,1.056
2016-06-22,0.42
2016-12-21,1.256
1997-12-23,0.076
2003-12-16,0.36
2008-12-23,0.712
2010-12-21,0.944
2012-12-18,0.584
1996-08-26,0.028
2014-12-17,1.116
1998-08-25,0.24
2008-06-25,0.812
2010-06-23,0.436
2012-06-21,0.372
2000-08-24,0.212
2020-06-15,0.545
