Date,Dividends
2007-12-20,1.018
2005-12-23,0.58
2003-12-22,0.238
2001-12-24,0.08
2015-12-21,0.504
2017-06-20,0.257
2017-12-19,0.641
2013-06-27,0.474
2015-06-25,0.36
1998-12-22,0.126
2009-06-23,0.13
2009-12-22,0.514
2011-12-20,0.554
1997-08-25,0.108
2011-06-22,0.378
2013-12-18,0.518
2021-06-10,0.28
1999-08-25,0.118
2001-08-24,0.064
2019-06-17,0.452
2019-12-16,0.682
2006-12-20,0.618
2004-12-23,0.552
2000-12-20,0.232
2002-12-23,0.156
2018-06-19,0.486
2018-12-18,0.444
2014-06-25,0.382
2016-06-22,0.128
2016-12-21,0.662
1997-12-23,0.02
1999-12-21,0.186
2003-12-16,0.14
2008-12-23,0.576
2010-12-21,0.612
2012-12-18,0.692
1996-08-26,0.072
2014-12-17,0.494
1998-08-25,0.114
2008-06-25,0.266
2010-06-23,0.234
2012-06-21,0.392
2000-08-24,0.344
2020-06-15,0.219
2020-12-14,0.357
