Date,CRSP-Investing
2021-09-30,-4.58%
2021-08-31,2.74%
2021-07-30,1.62%
2021-06-30,2.44%
2021-05-28,0.29%
2021-04-30,5.06%
2021-03-31,3.34%
2021-02-26,3.05%
2021-01-29,-0.40%
2020-12-31,4.34%
2020-11-30,12.03%
2020-10-30,-2.24%
2020-09-30,-3.68%
2020-08-31,7.01%
2020-07-31,5.53%
2020-06-30,2.14%
2020-05-29,5.17%
2020-04-30,13.14%
2020-03-31,-13.94%
2020-02-28,-8.34%
2020-01-31,-0.18%
2019-12-31,2.71%
2019-11-29,3.57%
2019-10-31,1.99%
2019-09-30,1.56%
2019-08-30,-2.23%
2019-07-31,1.34%
2019-06-28,6.83%
2019-05-31,-6.64%
2019-04-30,3.87%
2019-03-29,1.29%
2019-02-28,3.29%
2019-01-31,8.49%
2018-12-31,-9.44%
2018-11-30,1.84%
2018-10-31,-7.49%
2018-09-28,0.03%
2018-08-31,3.24%
2018-07-31,3.24%
2018-06-29,0.55%
2018-05-31,2.58%
2018-04-30,0.29%
2018-03-29,-2.13%
2018-02-28,-3.91%
2018-01-31,5.23%
2017-12-29,0.88%
2017-11-30,2.81%
2017-10-31,2.06%
2017-09-29,2.32%
2017-08-31,-0.06%
2017-07-31,1.76%
2017-06-30,0.78%
2017-05-31,0.80%
2017-04-28,0.95%
2017-03-31,-0.08%
2017-02-28,3.50%
2017-01-31,1.82%
2016-12-30,1.78%
2016-11-30,4.18%
2016-10-31,-2.32%
2016-09-30,0.02%
2016-08-31,0.03%
2016-07-29,3.85%
2016-06-30,0.07%
2016-05-31,1.55%
2016-04-29,0.53%
2016-03-31,6.84%
2016-02-29,-0.28%
2016-01-29,-5.76%
2015-12-31,-2.20%
2015-11-30,0.32%
2015-10-30,7.74%
2015-09-30,-3.11%
2015-08-31,-6.19%
2015-07-31,1.53%
2015-06-30,-1.87%
2015-05-29,1.18%
2015-04-30,0.33%
2015-03-31,-1.17%
2015-02-27,5.54%
2015-01-30,-2.86%
2014-12-31,-0.16%
2014-11-28,2.21%
2014-10-31,2.63%
2014-09-30,-2.26%
2014-08-29,3.97%
2014-07-31,-2.08%
2014-06-30,2.39%
2014-05-30,1.97%
2014-04-30,-0.04%
2014-03-31,0.37%
2014-02-28,4.50%
2014-01-31,-3.17%
2013-12-31,2.49%
2013-11-29,2.67%
2013-10-31,4.12%
2013-09-30,3.53%
2013-08-30,-3.02%
2013-07-31,5.36%
2013-06-28,-1.40%
2013-05-31,2.13%
2013-04-30,1.59%
2013-03-28,3.77%
2013-02-28,1.08%
2013-01-31,5.39%
2012-12-31,0.92%
2012-11-30,0.47%
2012-10-31,-1.92%
2012-09-28,2.42%
2012-08-31,2.21%
2012-07-31,0.88%
2012-06-29,3.78%
2012-05-31,-6.42%
2012-04-30,-0.82%
2012-03-30,2.89%
2012-02-29,4.03%
2012-01-31,4.92%
2011-12-30,0.68%
2011-11-30,-0.62%
2011-10-31,11.30%
