,date,close,open,last_max,last_min,volume,change
0,Sep 2021,"3,958.36","4,064.72","4,107.19","3,907.81",0,-2.59%
1,Aug 2021,"4,063.77","3,984.24","4,102.01","3,939.77",0,2.07%
2,Jul 2021,"3,981.48","4,003.39","4,044.70","3,835.82",0,-0.51%
3,Jun 2021,"4,001.82","4,058.69","4,116.70","3,913.87",0,-1.34%
4,May 2021,"4,056.31","3,924.88","4,094.29","3,908.88",0,3.31%
5,Apr 2021,"3,926.23","3,813.68","3,972.26","3,809.39",0,2.87%
6,Mar 2021,"3,816.81","3,668.28","3,881.11","3,667.93",0,3.90%
7,Feb 2021,"3,673.60","3,455.55","3,805.30","3,453.32",0,6.22%
8,Jan 2021,"3,458.52","3,487.29","3,657.32","3,448.16",0,-0.85%
9,Dec 2020,"3,488.15","3,353.79","3,501.69","3,352.39",0,4.07%
10,Nov 2020,"3,351.74","2,886.08","3,419.99","2,885.25",0,16.12%
11,Oct 2020,"2,886.50","2,961.30","3,095.81","2,859.06",0,-2.53%
12,Sep 2020,"2,961.34","3,092.95","3,142.09","2,881.08",0,-4.34%
13,Aug 2020,"3,095.82","2,922.74","3,123.80","2,917.79",0,5.85%
14,Jul 2020,"2,924.72","2,821.14","3,005.19","2,807.65",0,3.71%
15,Jun 2020,"2,820.15","2,751.04","2,997.72","2,732.08",0,2.52%
16,May 2020,"2,750.72","2,658.56","2,785.16","2,486.21",0,3.28%
17,Apr 2020,"2,663.43","2,468.81","2,703.71","2,349.07",0,8.03%
18,Mar 2020,"2,465.47","2,900.90","3,020.61","2,110.26",0,-14.86%
19,Feb 2020,"2,895.72","3,160.75","3,296.42","2,839.70",0,-8.39%
20,Jan 2020,"3,160.86","3,251.22","3,303.53","3,155.80",0,-2.78%
21,Dec 2019,"3,251.24","3,150.67","3,268.57","3,095.04",0,3.16%
22,Nov 2019,"3,151.52","3,080.44","3,170.36","3,077.80",0,2.27%
23,Oct 2019,"3,081.45","3,022.92","3,097.79","2,910.30",0,1.97%
24,Sep 2019,"3,021.90","2,950.36","3,090.97","2,925.60",0,2.33%
25,Aug 2019,"2,953.12","3,058.23","3,078.24","2,875.41",0,-3.47%
