Date,KEP_Monthly_Return
30/09/2021,-4.45%
31/08/2021,-4.09%
30/07/2021,-0.28%
30/06/2021,-5.92%
28/05/2021,8.51%
30/04/2021,3.12%
31/03/2021,2.09%
26/02/2021,-2.24%
29/01/2021,-16.22%
31/12/2020,29.29%
30/11/2020,9.84%
30/10/2020,-0.80%
30/09/2020,1.99%
31/08/2020,9.07%
31/07/2020,-1.88%
30/06/2020,-9.22%
29/05/2020,-8.53%
30/04/2020,27.28%
31/03/2020,-14.11%
28/02/2020,-16.84%
31/01/2020,-10.65%
31/12/2019,0.42%
29/11/2019,8.27%
31/10/2019,0.37%
30/09/2019,1.98%
30/08/2019,-9.38%
31/07/2019,5.68%
28/06/2019,1.09%
31/05/2019,-9.78%
30/04/2019,-6.46%
29/03/2019,-15.02%
28/02/2019,-0.13%
31/01/2019,3.93%
31/12/2018,11.57%
30/11/2018,10.54%
31/10/2018,-9.19%
28/09/2018,-3.30%
31/08/2018,-7.22%
31/07/2018,2.37%
29/06/2018,-5.66%
31/05/2018,-12.59%
30/04/2018,13.00%
29/03/2018,2.33%
28/02/2018,-9.51%
31/01/2018,-6.15%
29/12/2017,1.49%
30/11/2017,-0.96%
31/10/2017,5.13%
29/09/2017,-13.39%
31/08/2017,-3.59%
31/07/2017,11.69%
30/06/2017,-6.21%
31/05/2017,-3.28%
28/04/2017,-4.44%
31/03/2017,9.22%
28/02/2017,3.49%
31/01/2017,-0.76%
30/12/2016,-6.62%
30/11/2016,-9.26%
31/10/2016,-10.54%
30/09/2016,-5.72%
31/08/2016,-4.89%
29/07/2016,4.86%
30/06/2016,-1.82%
31/05/2016,-1.82%
29/04/2016,4.47%
31/03/2016,9.39%
29/02/2016,7.98%
29/01/2016,2.98%
31/12/2015,0.00%
30/11/2015,-5.49%
30/10/2015,9.32%
30/09/2015,0.34%
31/08/2015,-5.24%
31/07/2015,5.84%
30/06/2015,-1.50%
29/05/2015,-4.04%
30/04/2015,5.07%
31/03/2015,-0.87%
27/02/2015,7.04%
30/01/2015,-0.21%
31/12/2014,-6.61%
28/11/2014,-5.17%
31/10/2014,-2.58%
30/09/2014,7.47%
29/08/2014,3.01%
31/07/2014,10.16%
30/06/2014,-4.37%
30/05/2014,0.52%
30/04/2014,11.47%
31/03/2014,-0.81%
28/02/2014,6.13%
31/01/2014,-1.81%
31/12/2013,9.13%
29/11/2013,14.95%
31/10/2013,-5.70%
30/09/2013,2.33%
30/08/2013,8.63%
31/07/2013,11.67%
28/06/2013,-3.99%
31/05/2013,-17.74%
30/04/2013,5.37%
28/03/2013,-9.16%
28/02/2013,-0.33%
31/01/2013,7.44%
31/12/2012,13.85%
30/11/2012,-4.81%
31/10/2012,3.78%
28/09/2012,15.97%
31/08/2012,-3.08%
31/07/2012,-1.16%
29/06/2012,18.94%
31/05/2012,-1.05%
30/04/2012,-2.36%
30/03/2012,-12.74%
29/02/2012,-9.57%
31/01/2012,12.30%
30/12/2011,-1.08%
30/11/2011,0.63%
31/10/2011,29.76%
