Date,YPF_Monthly_Return
30/09/2021,-10.56%
31/08/2021,19.50%
30/07/2021,-6.84%
30/06/2021,-0.43%
28/05/2021,24.34%
30/04/2021,-8.03%
31/03/2021,-5.08%
26/02/2021,18.63%
29/01/2021,-22.34%
31/12/2020,-6.56%
30/11/2020,56.21%
30/10/2020,-9.80%
30/09/2020,-36.02%
31/08/2020,-10.43%
31/07/2020,8.35%
30/06/2020,14.09%
29/05/2020,31.25%
30/04/2020,-7.91%
31/03/2020,-47.81%
28/02/2020,-14.91%
31/01/2020,-18.91%
31/12/2019,20.50%
29/11/2019,2.67%
31/10/2019,1.19%
30/09/2019,8.06%
30/08/2019,-47.96%
31/07/2019,-8.91%
28/06/2019,22.79%
31/05/2019,9.61%
30/04/2019,-3.43%
29/03/2019,-0.92%
28/02/2019,-13.52%
31/01/2019,22.11%
31/12/2018,-10.02%
30/11/2018,-0.20%
31/10/2018,-2.91%
28/09/2018,2.12%
31/08/2018,-8.86%
31/07/2018,22.24%
29/06/2018,-25.22%
31/05/2018,-17.04%
30/04/2018,1.25%
29/03/2018,-6.45%
28/02/2018,-4.31%
31/01/2018,5.41%
29/12/2017,0.97%
30/11/2017,-7.61%
31/10/2017,10.23%
29/09/2017,11.07%
31/08/2017,-0.69%
31/07/2017,-7.25%
30/06/2017,-11.19%
31/05/2017,-4.53%
28/04/2017,6.38%
31/03/2017,17.01%
28/02/2017,-4.25%
31/01/2017,31.33%
30/12/2016,-2.88%
30/11/2016,-4.34%
31/10/2016,-2.52%
30/09/2016,7.24%
31/08/2016,-8.01%
29/07/2016,-3.02%
30/06/2016,-8.18%
31/05/2016,3.77%
29/04/2016,12.70%
31/03/2016,-1.32%
29/02/2016,7.60%
29/01/2016,7.12%
31/12/2015,-14.10%
30/11/2015,-14.33%
30/10/2015,40.25%
30/09/2015,-29.29%
31/08/2015,-6.06%
31/07/2015,-15.90%
30/06/2015,-1.22%
29/05/2015,-9.07%
30/04/2015,11.26%
31/03/2015,6.85%
27/02/2015,9.55%
30/01/2015,-11.41%
31/12/2014,-20.84%
28/11/2014,-4.92%
31/10/2014,-4.92%
30/09/2014,11.96%
29/08/2014,-6.61%
31/07/2014,8.71%
30/06/2014,9.37%
30/05/2014,4.99%
30/04/2014,-8.66%
31/03/2014,15.79%
28/02/2014,21.27%
31/01/2014,-32.68%
31/12/2013,10.90%
29/11/2013,42.54%
31/10/2013,3.58%
30/09/2013,19.25%
30/08/2013,3.65%
31/07/2013,11.31%
28/06/2013,2.50%
31/05/2013,8.68%
30/04/2013,-7.28%
28/03/2013,13.41%
28/02/2013,-25.71%
31/01/2013,16.56%
31/12/2012,27.97%
30/11/2012,3.24%
31/10/2012,-14.08%
28/09/2012,3.92%
31/08/2012,9.64%
31/07/2012,-7.61%
29/06/2012,-3.44%
31/05/2012,-12.28%
30/04/2012,-48.68%
30/03/2012,8.31%
29/02/2012,-25.06%
31/01/2012,0.92%
30/12/2011,-0.94%
30/11/2011,9.17%
31/10/2011,-1.75%
