Date,Open,High,Low,Close,Adj Close,Volume
1995-01-12,32.130001,32.250000,31.250000,31.250000,24.666559,2363400
1995-01-13,31.000000,31.000000,30.500000,30.750000,24.271889,509000
1995-01-16,30.500000,30.750000,30.250000,30.629999,24.177168,565400
1995-01-17,30.879999,31.250000,30.629999,30.750000,24.271889,950200
1995-01-18,31.379999,31.629999,31.129999,31.629999,24.966499,1534300
1995-01-19,31.250000,31.879999,31.250000,31.629999,24.966499,600900
1995-01-20,31.629999,31.879999,31.250000,31.379999,24.769165,1355700
1995-01-23,31.129999,31.129999,30.379999,30.629999,24.177168,709300
1995-01-24,30.629999,30.629999,30.129999,30.250000,23.877230,364600
1995-01-25,30.250000,30.250000,29.750000,29.750000,23.482565,771200
1995-01-26,30.000000,30.000000,29.750000,29.879999,23.585178,436700
1995-01-27,29.500000,29.500000,28.750000,28.879999,22.795839,856200
1995-01-30,28.500000,29.000000,28.500000,28.629999,22.598505,1121200
1995-01-31,28.500000,28.500000,27.879999,28.129999,22.203842,1885700
1995-02-01,28.750000,29.000000,28.379999,28.379999,22.401178,1428000
1995-02-02,28.750000,29.500000,28.750000,29.379999,23.190508,1706400
1995-02-03,29.379999,29.379999,28.879999,29.250000,23.087904,520200
1995-02-06,29.000000,29.500000,28.750000,29.250000,23.087904,713700
1995-02-07,29.000000,29.129999,28.629999,28.750000,22.693239,293800
1995-02-08,28.879999,29.000000,28.379999,28.879999,22.795839,957700
1995-02-09,29.250000,29.629999,29.250000,29.629999,23.387852,814500
1995-02-10,29.750000,30.000000,29.629999,30.000000,23.679893,565000
1995-02-13,29.750000,29.750000,29.250000,29.500000,23.285231,417000
1995-02-14,29.750000,29.879999,29.500000,29.750000,23.482565,329600
1995-02-15,29.879999,30.000000,29.629999,29.879999,23.585178,394100
1995-02-16,30.000000,30.629999,30.000000,30.250000,23.877230,437300
1995-02-17,30.629999,31.000000,30.629999,30.750000,24.271889,905300
1995-02-20,30.879999,31.000000,30.629999,31.000000,24.469223,218400
1995-02-21,30.750000,30.750000,30.129999,30.379999,23.979834,673800
1995-02-22,30.379999,31.379999,30.379999,31.000000,24.469223,1272100
1995-02-23,31.000000,31.129999,30.629999,30.629999,24.177168,302200
1995-02-24,30.750000,30.750000,30.129999,30.250000,23.877230,1020200
1995-02-27,30.129999,30.379999,30.000000,30.250000,23.877230,595900
1995-02-28,30.250000,30.629999,30.250000,30.250000,23.877230,376800
1995-03-01,30.129999,30.250000,29.379999,29.379999,23.190508,1289400
1995-03-02,29.500000,30.250000,29.250000,30.000000,23.679893,934000
1995-03-03,30.000000,30.379999,29.500000,29.500000,23.285231,658000
1995-03-06,30.000000,30.750000,30.000000,30.629999,24.177168,938400
1995-03-07,31.379999,33.250000,31.250000,32.880001,25.953169,3698200
1995-03-08,32.380001,32.500000,31.629999,31.750000,25.061222,1504300
1995-03-09,31.879999,32.500000,31.750000,32.250000,25.455883,1450500
1995-03-10,32.000000,32.500000,31.879999,32.000000,25.258549,995600
1995-03-13,32.880001,33.000000,32.750000,32.880001,25.953169,883700
1995-03-14,32.750000,32.750000,32.380001,32.630001,25.755833,501900
1995-03-15,33.000000,33.380001,32.880001,33.380001,26.347832,647300
1995-03-16,33.000000,33.250000,32.630001,33.000000,26.047882,789000
1995-03-17,33.000000,33.630001,32.880001,33.250000,26.245214,910400
1995-03-20,32.880001,33.500000,32.630001,33.500000,26.442545,394800
1995-03-21,33.500000,33.880001,32.750000,33.130001,26.150492,384000
1995-03-22,32.880001,33.380001,32.880001,32.880001,25.953169,414100
1995-03-23,33.130001,33.630001,33.130001,33.630001,26.545156,554400
1995-03-24,33.250000,33.500000,33.000000,33.380001,26.347832,519800
1995-03-27,33.250000,33.500000,33.250000,33.380001,26.347832,439500
1995-03-28,33.250000,33.630001,32.750000,33.630001,26.545156,588000
1995-03-29,33.630001,34.000000,33.250000,33.250000,26.245214,889500
1995-03-30,33.380001,35.000000,33.250000,34.380001,27.137157,1943200
1995-03-31,35.500000,35.630001,34.500000,34.750000,27.429211,3196900
1995-04-03,34.880001,35.250000,34.630001,34.750000,27.429211,1253800
1995-04-04,34.750000,35.000000,34.250000,34.250000,27.034546,744600
1995-04-05,34.500000,35.380001,34.380001,35.130001,27.729147,1674500
1995-04-06,35.130001,35.630001,35.000000,35.380001,27.926485,1962400
1995-04-07,35.380001,35.500000,34.750000,34.880001,27.531824,480500
1995-04-10,34.380001,34.380001,33.630001,33.750000,26.639885,787300
1995-04-11,33.750000,34.250000,33.500000,34.130001,26.939831,658200
1995-04-12,34.250000,34.250000,33.750000,33.880001,26.742489,391100
1995-04-13,33.750000,33.750000,32.630001,33.000000,26.047882,1088600
1995-04-14,null,null,null,null,null,null
1995-04-17,33.250000,34.130001,33.130001,34.000000,26.837210,1163600
1995-04-18,34.000000,35.130001,33.750000,35.130001,27.729147,2175600
1995-04-19,35.250000,35.630001,34.630001,34.630001,27.334492,1668100
1995-04-20,34.380001,34.500000,33.630001,33.750000,26.639885,1119800
1995-04-21,33.380001,34.250000,33.380001,33.880001,26.742489,622300
1995-04-24,34.130001,34.250000,33.880001,34.000000,26.837210,485100
1995-04-25,33.880001,34.380001,33.880001,34.130001,26.939831,550900
1995-04-26,34.000000,34.130001,33.250000,33.380001,26.347832,776100
1995-04-27,33.380001,33.630001,33.250000,33.630001,26.545156,683400
1995-04-28,33.880001,33.880001,33.000000,33.000000,26.047882,698700
1995-05-01,33.130001,33.630001,33.130001,33.380001,26.347832,452400
1995-05-02,33.380001,33.880001,33.250000,33.380001,26.347832,513400
