Date,Close,Open,High,Low,Volume,Chg%
"October 26, 2021",19.43,19.46,19.58,19.3,11.96M,-0.61%
"October 25, 2021",19.55,19.76,19.77,19.52,12.47M,0.36%
"October 22, 2021",19.48,19.69,20.05,19.42,19.84M,0.57%
"October 21, 2021",19.37,19.32,19.43,19.21,9.81M,-0.26%
"October 20, 2021",19.42,19.43,19.67,19.33,13.21M,0.57%
"October 19, 2021",19.31,19.44,19.49,19.07,12.75M,1.26%
"October 18, 2021",19.07,19.08,19.24,18.9,11.38M,-0.31%
"October 15, 2021",19.13,19.17,19.25,18.8,17.79M,-2.25%
"October 14, 2021",19.57,19.49,19.74,19.4,19.46M,1.77%
"October 13, 2021",19.23,18.91,19.42,18.88,23.57M,3.05%
"October 12, 2021",18.66,18.49,18.83,18.31,15.42M,1.19%
"October 11, 2021",18.44,18.61,18.73,18.35,9.28M,-0.43%
"October 8, 2021",18.52,19.03,19.07,18.51,16.07M,-0.38%
"October 7, 2021",18.59,18.35,18.63,18.34,16.00M,0.76%
"October 6, 2021",18.45,18.06,18.46,18.01,13.81M,1.65%
"October 5, 2021",18.15,18.15,18.19,17.81,17.37M,-0.44%
"October 4, 2021",18.23,17.99,18.42,17.96,17.68M,1.33%
"October 1, 2021",17.99,18.08,18.08,17.73,20.64M,-0.33%
"September 30, 2021",18.05,17.69,18.22,17.65,22.26M,2.67%
"September 29, 2021",17.58,18.04,18.15,17.56,23.47M,-2.87%
"September 28, 2021",18.1,17.81,18.12,17.57,26.35M,0.84%
"September 27, 2021",17.95,18.06,18.25,17.87,20.56M,-0.44%
"September 24, 2021",18.03,18.09,18.27,18.03,13.37M,-1.10%
"September 23, 2021",18.23,18.3,18.38,18.09,19.44M,-1.19%
"September 22, 2021",18.45,18.55,18.81,18.41,17.05M,-0.22%
"September 21, 2021",18.49,18.8,18.85,18.48,17.14M,-0.86%
"September 20, 2021",18.65,18.23,18.65,18.09,22.69M,1.58%
"September 17, 2021",18.36,18.48,18.49,18.26,23.32M,-0.81%
"September 16, 2021",18.51,18.98,18.98,18.4,39.94M,-4.39%
"September 15, 2021",19.36,19.48,19.67,19.33,14.91M,-0.72%
"September 14, 2021",19.5,19.63,19.82,19.45,15.93M,0.15%
"September 13, 2021",19.47,19.39,19.69,19.23,15.49M,0.62%
"September 10, 2021",19.35,19.69,19.76,19.35,14.66M,-1.73%
"September 9, 2021",19.69,20.01,20.01,19.62,16.10M,-0.86%
"September 8, 2021",19.86,19.82,19.98,19.61,19.79M,0.05%
"September 7, 2021",19.85,20.15,20.16,19.73,18.90M,-2.22%
"September 3, 2021",20.3,20.18,20.51,20.05,20.24M,2.16%
"September 2, 2021",19.87,19.83,19.9,19.68,13.18M,0.30%
"September 1, 2021",19.81,20.2,20.22,19.8,13.68M,-1.30%
"August 31, 2021",20.07,19.89,20.11,19.83,11.97M,1.31%
"August 30, 2021",19.81,20.24,20.25,19.72,12.93M,-2.12%
"August 27, 2021",20.24,19.72,20.34,19.64,14.38M,2.58%
"August 26, 2021",19.73,19.63,19.87,19.6,9.84M,-0.60%
"August 25, 2021",19.85,19.95,19.97,19.69,10.99M,-1.34%
"August 24, 2021",20.12,20.26,20.27,19.98,12.21M,-0.15%
"August 23, 2021",20.15,19.58,20.26,19.32,21.83M,4.78%
"August 20, 2021",19.23,19.01,19.4,18.76,12.68M,0.52%
"August 19, 2021",19.13,19.38,19.46,19.06,19.54M,-1.70%
"August 18, 2021",19.46,20.03,20.03,19.39,21.33M,-2.55%
"August 17, 2021",19.97,20.14,20.24,19.82,15.33M,-1.09%
"August 16, 2021",20.19,20.11,20.36,20.04,15.39M,-0.39%
"August 13, 2021",20.27,20.3,20.5,20.13,13.12M,1.10%
"August 12, 2021",20.05,20.21,20.23,19.87,11.67M,-1.28%
"August 11, 2021",20.31,20.07,20.5,20.03,15.10M,2.37%
"August 10, 2021",19.84,20.48,20.57,19.84,26.84M,-3.50%
"August 9, 2021",20.56,20.45,20.82,20.41,24.46M,-1.15%
"August 6, 2021",20.8,20.75,21,20.35,29.73M,-2.16%
"August 5, 2021",21.26,21.63,21.64,21.22,11.55M,-1.80%
"August 4, 2021",21.65,22,22.3,21.62,16.79M,-0.32%
"August 3, 2021",21.72,21.55,21.77,21.53,10.72M,0.70%
"August 2, 2021",21.57,21.75,21.75,21.42,12.23M,-0.92%
"July 30, 2021",21.77,21.69,21.99,21.59,10.18M,-0.18%
"July 29, 2021",21.81,21.74,21.99,21.59,16.34M,2.20%
"July 28, 2021",21.34,20.97,21.37,20.92,11.95M,1.67%
"July 27, 2021",20.99,20.86,21.06,20.68,10.33M,0.82%
"July 26, 2021",20.82,20.66,21.05,20.57,9.47M,0.92%
"July 23, 2021",20.63,20.65,20.78,20.43,10.31M,-0.53%
"July 22, 2021",20.74,20.78,20.87,20.52,10.18M,-0.77%
"July 21, 2021",20.9,20.57,21.01,20.53,12.06M,0.87%
"July 20, 2021",20.72,20.67,21.06,20.55,16.24M,0.88%
"July 19, 2021",20.54,20.63,20.84,20.27,20.15M,-1.53%
"July 16, 2021",20.86,21.17,21.21,20.71,17.42M,-1.93%
"July 15, 2021",21.27,21.31,21.35,20.95,11.95M,-0.28%
"July 14, 2021",21.33,21.63,21.63,21.21,13.17M,0.90%
"July 13, 2021",21.14,20.92,21.53,20.91,14.80M,1.49%
"July 12, 2021",20.83,21.02,21.26,20.77,10.53M,-1.42%
"July 9, 2021",21.13,20.8,21.21,20.76,10.65M,1.98%
"July 8, 2021",20.72,21.18,21.27,20.57,14.45M,-2.22%
"July 7, 2021",21.19,21.41,21.41,21.03,9.32M,-0.47%
"July 6, 2021",21.29,21.06,21.35,20.98,20.21M,2.41%
"July 2, 2021",20.79,20.82,20.96,20.59,10.72M,1.02%
"July 1, 2021",20.58,20.94,20.94,20.56,12.98M,-0.48%
"June 30, 2021",20.68,20.7,20.81,20.46,10.42M,0.73%
"June 29, 2021",20.53,20.38,20.68,20.31,12.43M,-0.82%
"June 28, 2021",20.7,20.91,21.04,20.54,12.07M,-0.91%
"June 25, 2021",20.89,21.19,21.24,20.83,11.27M,-0.38%
"June 24, 2021",20.97,21.07,21.17,20.93,10.55M,0.05%
"June 23, 2021",20.96,21.29,21.34,20.94,10.33M,-0.57%
"June 22, 2021",21.08,21.07,21.28,20.98,12.90M,-0.33%
"June 21, 2021",21.15,20.94,21.27,20.8,15.73M,1.93%
"June 18, 2021",20.75,21.12,21.23,20.74,30.23M,-1.33%
"June 17, 2021",21.03,21.76,21.87,21,37.07M,-6.33%
"June 16, 2021",22.45,22.79,23.14,22.45,21.39M,-1.49%
"June 15, 2021",22.79,23.16,23.16,22.77,11.08M,-1.56%
"June 14, 2021",23.15,22.88,23.26,22.7,13.12M,-0.34%
"June 11, 2021",23.23,23.61,23.66,23.22,10.95M,-2.02%
"June 10, 2021",23.71,23.02,23.73,22.93,13.18M,3.04%
"June 9, 2021",23.01,23.1,23.32,23.01,10.45M,-0.48%
"June 8, 2021",23.12,23.35,23.52,23.12,10.68M,-1.24%
"June 7, 2021",23.41,23.32,23.49,23.17,10.96M,-0.21%
"June 4, 2021",23.46,23.32,23.68,23.25,13.42M,1.08%
"June 3, 2021",23.21,23.57,23.6,23.13,21.16M,-3.97%
"June 2, 2021",24.17,24.28,24.37,24.14,9.60M,-0.37%
"June 1, 2021",24.26,24.13,24.3,23.79,17.55M,0.75%
"May 28, 2021",24.08,23.55,24.15,23.48,20.38M,0.92%
"May 27, 2021",23.86,24.41,24.42,23.73,20.87M,-2.37%
"May 26, 2021",24.44,24.67,24.8,24.36,15.21M,0.00%
"May 25, 2021",24.44,24.52,24.56,24.09,19.35M,-0.41%
"May 24, 2021",24.54,24.65,24.75,24.4,9.15M,-0.08%
"May 21, 2021",24.56,24.86,24.91,24.35,14.49M,-0.45%
"May 20, 2021",24.67,24.4,24.86,24.31,13.66M,0.90%
"May 19, 2021",24.45,24.72,25.23,24.28,23.52M,-2.08%
"May 18, 2021",24.97,25.09,25.1,24.47,19.03M,-0.64%
