"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 26, 2021","3,418.95","3,415.18","3,437.50","3,413.13","-","0.11%"
"Oct 25, 2021","3,415.18","3,397.78","3,419.97","3,393.62","-","0.51%"
"Oct 22, 2021","3,397.78","3,404.31","3,409.90","3,382.05","-","-0.19%"
"Oct 21, 2021","3,404.31","3,392.49","3,405.33","3,387.12","-","0.35%"
"Oct 20, 2021","3,392.49","3,379.49","3,395.94","3,379.49","-","0.38%"
"Oct 19, 2021","3,379.49","3,356.31","3,381.25","3,356.31","-","0.69%"
"Oct 18, 2021","3,356.31","3,344.46","3,357.53","3,328.13","-","0.35%"
"Oct 15, 2021","3,344.46","3,324.37","3,350.22","3,324.37","-","0.60%"
"Oct 14, 2021","3,324.37","3,269.80","3,325.35","3,269.80","-","1.67%"
"Oct 13, 2021","3,269.80","3,256.12","3,274.91","3,243.41","-","0.42%"
"Oct 12, 2021","3,256.12","3,257.64","3,271.35","3,249.91","-","-0.05%"
"Oct 11, 2021","3,257.64","3,279.69","3,298.45","3,257.37","-","-0.67%"
"Oct 08, 2021","3,279.69","3,288.90","3,297.60","3,277.47","-","-0.28%"
"Oct 07, 2021","3,288.90","3,257.83","3,310.13","3,257.83","-","0.95%"
"Oct 06, 2021","3,257.83","3,245.90","3,259.12","3,205.23","-","0.37%"
"Oct 05, 2021","3,245.90","3,213.97","3,261.84","3,213.97","-","0.99%"
"Oct 04, 2021","3,213.97","3,258.09","3,258.09","3,199.07","-","-1.35%"
"Oct 01, 2021","3,258.09","3,220.11","3,271.25","3,205.86","-","1.18%"
"Sep 30, 2021","3,220.11","3,255.32","3,272.83","3,219.38","-","-1.08%"
"Sep 29, 2021","3,255.32","3,253.26","3,275.91","3,252.67","-","0.06%"
"Sep 28, 2021","3,253.26","3,323.77","3,323.77","3,250.71","-","-2.12%"
"Sep 27, 2021","3,323.77","3,329.30","3,333.70","3,315.66","-","-0.17%"
"Sep 24, 2021","3,329.30","3,327.62","3,335.31","3,314.31","-","0.05%"
"Sep 23, 2021","3,327.62","3,286.87","3,339.25","3,286.87","-","1.24%"
"Sep 22, 2021","3,286.87","3,254.30","3,302.86","3,254.30","-","1.00%"
"Sep 21, 2021","3,254.30","3,254.21","3,282.21","3,247.24","-","0.00%"
"Sep 20, 2021","3,254.21","3,313.04","3,313.04","3,215.39","-","-1.78%"
"Sep 17, 2021","3,313.04","3,338.67","3,338.67","3,307.34","-","-0.77%"
"Sep 16, 2021","3,338.67","3,341.14","3,347.64","3,316.74","-","-0.07%"
"Sep 15, 2021","3,341.14","3,312.44","3,345.13","3,308.17","-","0.87%"
"Sep 14, 2021","3,312.44","3,333.85","3,345.69","3,307.03","-","-0.64%"
"Sep 13, 2021","3,333.85","3,327.12","3,350.11","3,317.87","-","0.20%"
"Sep 10, 2021","3,327.12","3,353.47","3,373.26","3,326.61","-","-0.79%"
"Sep 09, 2021","3,353.47","3,365.96","3,379.54","3,352.80","-","-0.37%"
"Sep 08, 2021","3,365.96","3,374.81","3,374.81","3,350.93","-","-0.26%"
"Sep 07, 2021","3,374.81","3,388.98","3,388.98","3,371.68","-","-0.42%"
"Sep 03, 2021","3,388.98","3,390.33","3,392.72","3,380.16","-","-0.04%"
"Sep 02, 2021","3,390.33","3,378.79","3,394.82","3,378.79","-","0.34%"
"Sep 01, 2021","3,378.79","3,374.82","3,388.54","3,374.82","-","0.12%"
"Aug 31, 2021","3,374.82","3,379.49","3,380.60","3,369.46","-","-0.14%"
"Aug 30, 2021","3,379.49","3,367.95","3,385.94","3,367.95","-","0.34%"
"Aug 27, 2021","3,367.95","3,332.70","3,370.89","3,332.70","-","1.06%"
"Aug 26, 2021","3,332.70","3,353.77","3,354.08","3,331.85","-","-0.63%"
"Aug 25, 2021","3,353.77","3,344.83","3,358.27","3,344.35","-","0.27%"
"Aug 24, 2021","3,344.83","3,333.74","3,349.29","3,333.74","-","0.33%"
