Date,Open,High,Low,Close,Adj Close,Volume
1996-03-18,13.437500,13.437500,13.437500,13.437500,7.451697,500
1996-03-19,13.625000,13.625000,13.500000,13.500000,7.486356,2500
1996-03-20,13.500000,13.500000,13.500000,13.500000,7.486356,0
1996-03-21,13.500000,13.500000,13.500000,13.500000,7.486356,0
1996-03-22,13.500000,13.500000,13.500000,13.500000,7.486356,300
1996-03-25,13.687500,13.687500,13.687500,13.687500,7.590333,25000
1996-03-26,13.625000,13.625000,13.500000,13.625000,7.555673,17200
1996-03-27,13.625000,13.625000,13.500000,13.500000,7.486356,31500
1996-03-28,13.625000,13.625000,13.625000,13.625000,7.555673,3000
1996-03-29,13.500000,13.500000,13.500000,13.500000,7.486356,300100
1996-04-01,13.562500,13.562500,13.562500,13.562500,7.521013,60900
1996-04-02,13.625000,13.625000,13.500000,13.625000,7.555673,22000
1996-04-03,13.500000,13.500000,13.437500,13.500000,7.486356,2800
1996-04-04,13.437500,13.437500,13.437500,13.437500,7.451697,100
1996-04-08,13.312500,13.375000,13.312500,13.375000,7.417037,33000
1996-04-09,13.500000,13.500000,13.437500,13.437500,7.451697,134000
1996-04-10,13.500000,13.500000,13.437500,13.437500,7.451697,26600
1996-04-11,13.437500,13.437500,13.437500,13.437500,7.451697,300
1996-04-12,13.437500,13.437500,13.437500,13.437500,7.451697,100
1996-04-15,13.375000,13.437500,13.375000,13.437500,7.451697,2600
1996-04-16,13.437500,13.437500,13.437500,13.437500,7.451697,5200
1996-04-17,13.375000,13.375000,13.375000,13.375000,7.417037,400
1996-04-18,13.375000,13.375000,13.250000,13.375000,7.417037,700
1996-04-19,13.375000,13.437500,13.375000,13.437500,7.451697,500
1996-04-22,13.437500,13.437500,13.375000,13.375000,7.417037,1300
1996-04-23,13.375000,13.375000,13.375000,13.375000,7.417037,400
1996-04-24,13.250000,13.250000,13.250000,13.250000,7.347719,1200
1996-04-25,13.187500,13.187500,13.187500,13.187500,7.313060,1900
1996-04-26,13.125000,13.250000,13.125000,13.250000,7.347719,1000
1996-04-29,13.125000,13.125000,13.062500,13.125000,7.278402,13000
1996-04-30,12.875000,12.875000,12.875000,12.875000,7.139764,1000
1996-05-01,12.937500,12.937500,12.937500,12.937500,7.174424,800
1996-05-02,12.812500,12.937500,12.812500,12.937500,7.174424,14300
1996-05-03,12.937500,13.000000,12.937500,13.000000,7.209083,21200
1996-05-06,13.000000,13.000000,13.000000,13.000000,7.209083,14900
1996-05-07,13.000000,13.000000,13.000000,13.000000,7.209083,17800
1996-05-08,13.000000,13.062500,12.937500,13.062500,7.243741,3200
1996-05-09,13.062500,13.062500,13.062500,13.062500,7.243741,3900
1996-05-10,13.062500,13.062500,13.062500,13.062500,7.243741,1500
1996-05-13,13.000000,13.000000,12.812500,12.875000,7.139764,23300
1996-05-14,13.062500,13.062500,13.062500,13.062500,7.243741,8500
1996-05-15,13.125000,13.125000,13.125000,13.125000,7.278402,1300
1996-05-16,13.250000,13.250000,13.125000,13.125000,7.278402,3100
1996-05-17,13.250000,13.250000,13.250000,13.250000,7.347719,2000
1996-05-20,13.250000,13.250000,13.250000,13.250000,7.347719,2400
1996-05-21,13.375000,13.375000,13.000000,13.125000,7.278402,45300
1996-05-22,13.187500,13.187500,13.125000,13.125000,7.278402,400
1996-05-23,13.187500,13.250000,13.187500,13.250000,7.347719,5500
1996-05-24,13.250000,13.250000,13.187500,13.250000,7.347719,7700
1996-05-28,13.250000,13.250000,13.187500,13.187500,7.313060,5400
1996-05-29,13.125000,13.125000,13.125000,13.125000,7.278402,3000
1996-05-30,13.187500,13.187500,13.062500,13.125000,7.278402,37900
1996-05-31,13.250000,13.250000,13.187500,13.187500,7.313060,400
1996-06-03,13.312500,13.312500,13.187500,13.187500,7.313060,500
1996-06-04,13.250000,13.250000,13.250000,13.250000,7.347719,1700
1996-06-05,13.375000,13.375000,13.375000,13.375000,7.417037,900
1996-06-06,13.375000,13.375000,13.375000,13.375000,7.417037,300
1996-06-07,13.250000,13.375000,13.250000,13.375000,7.417037,17000
1996-06-10,13.375000,13.375000,13.250000,13.250000,7.347719,1200
1996-06-11,13.250000,13.250000,13.250000,13.250000,7.347719,0
1996-06-12,13.125000,13.250000,13.125000,13.250000,7.347719,4100
1996-06-13,13.250000,13.250000,13.250000,13.250000,7.347719,0
1996-06-14,13.250000,13.250000,13.250000,13.250000,7.347719,0
1996-06-17,13.062500,13.187500,13.000000,13.187500,7.313060,15100
1996-06-18,13.187500,13.500000,13.187500,13.500000,7.486356,63200
1996-06-19,13.625000,13.625000,13.375000,13.375000,7.417037,5300
1996-06-20,13.437500,13.437500,13.250000,13.250000,7.347719,25600
1996-06-21,13.250000,13.437500,13.187500,13.187500,7.313060,9900
1996-06-24,13.250000,13.375000,13.250000,13.312500,7.382377,5900
1996-06-25,13.437500,13.500000,13.437500,13.500000,7.486356,13400
1996-06-26,13.500000,13.500000,13.437500,13.437500,7.451697,1800
1996-06-27,13.500000,13.500000,13.375000,13.500000,7.486356,8400
1996-06-28,13.625000,13.625000,13.625000,13.625000,7.555673,400
1996-07-01,13.562500,13.562500,13.562500,13.562500,7.521013,1800
1996-07-02,13.562500,13.562500,13.562500,13.562500,7.521013,1800
1996-07-03,13.625000,13.625000,13.500000,13.625000,7.555673,5000
1996-07-05,13.500000,13.500000,13.500000,13.500000,7.486356,200
1996-07-08,13.500000,13.500000,13.500000,13.500000,7.486356,1300
1996-07-09,13.375000,13.375000,13.250000,13.312500,7.382377,85100
1996-07-10,13.312500,13.312500,13.312500,13.312500,7.382377,0
1996-07-11,13.437500,13.437500,13.250000,13.250000,7.347719,4200
1996-07-12,13.250000,13.375000,13.250000,13.375000,7.417037,1200
1996-07-15,13.437500,13.437500,13.375000,13.375000,7.417037,2000
1996-07-16,13.312500,13.375000,13.250000,13.375000,7.417037,6700
1996-07-17,13.500000,13.500000,13.500000,13.500000,7.486356,1800
1996-07-18,13.625000,13.625000,13.625000,13.625000,7.555673,8300
1996-07-19,13.500000,13.562500,13.500000,13.562500,7.521013,6500
1996-07-22,13.437500,13.437500,13.250000,13.250000,7.347719,51000
1996-07-23,13.375000,13.375000,13.375000,13.375000,7.417037,1000
