This file was created by CMPT_BEME_RETS using the 202109 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on BE/ME.

The portfolios are constructed at the end of June.  BE/ME is book equity at
the last fiscal year end of the prior calendar year divided by ME at the end
of December of the prior year.  

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points use Compustat firms plus the firms hand-collected from the
Moodys Industrial, Utilities, Transportation, and Financial Manuals.

The  portfolios  use Compustat firms plus the firms hand-collected from the
Moodys Industrial, Utilities, Transportation, and Financial Manuals.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Returns -- Monthly
,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
192607,   12.07,    5.55,    1.92,    1.06,    3.17,    5.41,    1.77,    2.44,    0.60,    4.55,    1.27,   11.40,    1.68,    1.50,    2.09,    2.73,    1.58,    0.63,    0.52
192608,   -9.73,    2.65,    2.64,    6.09,    1.00,    4.01,    2.05,    4.58,    7.10,    0.18,    2.17,    6.40,    2.38,    1.58,    2.63,    4.46,    4.94,    8.31,    3.92
192609,  -15.16,    1.28,    0.06,   -0.71,   -1.05,    3.05,   -0.30,   -0.17,   -1.46,   -0.09,   -2.39,    6.32,    0.73,   -0.89,    0.38,   -0.28,    0.17,   -2.16,    0.44
192610,   -5.63,   -3.60,   -2.42,   -3.59,   -2.89,   -2.96,   -2.21,   -4.18,   -4.28,   -3.80,   -1.60,   -5.01,   -1.41,   -2.31,   -2.10,   -4.65,   -2.80,   -5.46,   -1.17
192611,    5.58,    3.13,    2.92,    3.13,    4.11,    2.57,    1.89,    3.96,    2.48,    6.04,    1.41,    1.11,    3.63,    1.97,    1.80,    4.00,    3.85,    2.77,    1.76
192612,   -6.13,    2.96,    2.58,    2.61,    1.68,    3.33,    1.82,    5.20,    2.06,    1.36,    2.16,    5.68,    1.69,    0.66,    3.15,    5.90,    3.21,    1.38,    3.81
192701,    0.69,   -0.28,    0.02,    4.33,   -0.36,    0.36,   -0.47,    0.68,    5.50,   -0.59,   -0.04,   -0.10,    0.71,   -1.65,    0.87,   -0.12,    3.03,    4.69,    7.51
192702,   -1.26,    4.96,    3.66,    8.14,    3.70,    5.04,    3.39,    5.49,    9.22,    4.37,    2.71,    7.57,    3.22,    3.77,    2.96,    5.00,    6.91,    8.06,   12.04
192703,  -12.81,    1.20,    0.16,   -2.64,    0.23,    1.56,   -0.42,   -0.16,   -1.93,    0.74,   -0.51,    3.13,    0.38,   -1.78,    1.08,    1.02,   -3.48,   -3.04,    0.67
192704,   -6.16,    2.91,   -0.70,    0.41,    2.16,    0.97,   -0.44,   -0.03,    1.74,    3.95,   -0.53,    4.36,   -1.65,   -1.11,    0.30,    0.35,   -1.16,    2.22,    0.66
