"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 26, 2021","570.99","569.44","572.86","569.41","-","0.26%"
"Oct 25, 2021","569.49","567.87","570.04","566.81","-","0.27%"
"Oct 22, 2021","567.93","567.78","569.71","566.03","-","-0.04%"
"Oct 21, 2021","568.14","567.88","568.19","566.28","-","0.06%"
"Oct 20, 2021","567.82","565.90","568.28","565.67","-","0.33%"
"Oct 19, 2021","565.96","561.94","566.12","561.91","-","0.73%"
"Oct 18, 2021","561.87","561.14","562.07","558.50","-","0.11%"
"Oct 15, 2021","561.27","556.74","561.54","556.67","-","0.84%"
"Oct 14, 2021","556.60","549.58","556.86","549.56","-","1.36%"
"Oct 13, 2021","549.14","546.25","550.04","545.96","-","0.50%"
"Oct 12, 2021","546.39","547.51","548.00","545.65","-","-0.26%"
"Oct 11, 2021","547.83","549.32","552.03","547.45","-","-0.30%"
"Oct 08, 2021","549.47","549.70","551.50","548.90","-","-0.07%"
"Oct 07, 2021","549.83","543.73","552.06","543.72","-","1.16%"
"Oct 06, 2021","543.55","544.43","545.03","537.53","-","-0.15%"
"Oct 05, 2021","544.36","540.93","546.14","538.93","-","0.62%"
"Oct 04, 2021","540.99","546.21","546.90","539.22","-","-0.93%"
"Oct 01, 2021","546.06","544.07","547.60","540.60","-","0.38%"
"Sep 30, 2021","544.01","546.84","549.48","544.01","-","-0.56%"
"Sep 29, 2021","547.08","548.62","549.73","546.45","-","-0.28%"
"Sep 28, 2021","548.61","558.98","558.99","548.07","-","-1.86%"
"Sep 27, 2021","559.00","560.04","560.83","557.83","-","-0.16%"
"Sep 24, 2021","559.92","560.70","561.67","558.28","-","-0.18%"
"Sep 23, 2021","560.92","554.78","562.03","554.58","-","1.02%"
"Sep 22, 2021","555.26","551.31","557.22","550.49","-","0.72%"
"Sep 21, 2021","551.31","549.50","554.52","550.59","-","0.12%"
"Sep 20, 2021","550.63","559.48","559.49","546.37","-","-1.62%"
"Sep 17, 2021","559.69","563.57","564.69","559.02","-","-0.69%"
"Sep 16, 2021","563.59","565.11","565.28","561.29","-","-0.25%"
"Sep 15, 2021","564.98","563.40","565.47","561.92","-","0.24%"
"Sep 14, 2021","563.63","563.63","563.63","563.63","-","-0.31%"
"Sep 13, 2021","565.37","564.58","567.30","563.47","-","0.08%"
"Sep 10, 2021","564.91","566.59","570.16","564.49","-","-0.28%"
"Sep 09, 2021","566.52","568.87","569.40","566.52","-","-0.38%"
"Sep 08, 2021","568.69","571.30","571.59","567.06","-","-0.48%"
"Sep 07, 2021","571.41","573.29","573.96","570.95","-","-0.31%"
"Sep 06, 2021","573.18","571.83","573.32","571.81","-","0.23%"
"Sep 03, 2021","571.89","571.17","572.55","570.55","-","0.14%"
"Sep 02, 2021","571.10","569.41","571.61","568.99","-","0.27%"
"Sep 01, 2021","569.55","567.57","570.57","567.28","-","0.36%"
"Aug 31, 2021","567.52","567.05","568.78","566.48","-","0.07%"
"Aug 30, 2021","567.14","564.71","567.78","564.70","-","0.48%"
"Aug 27, 2021","564.42","560.12","565.06","559.58","-","0.76%"
"Aug 26, 2021","560.19","563.46","563.59","559.95","-","-0.52%"
"Aug 25, 2021","563.11","562.08","563.78","561.75","-","0.18%"
"Aug 24, 2021","562.09","558.93","562.54","558.90","-","0.60%"
"Aug 23, 2021","558.71","552.65","559.52","552.62","-","1.14%"
"Aug 20, 2021","552.43","550.38","552.87","548.77","-","0.22%"
"Aug 19, 2021","551.19","554.66","554.67","547.92","-","-0.64%"
"Aug 18, 2021","554.72","557.40","558.78","554.48","-","-0.48%"
"Aug 17, 2021","557.40","561.90","562.07","554.98","-","-0.82%"
"Aug 16, 2021","562.01","563.47","563.57","558.74","-","-0.23%"
"Aug 13, 2021","563.31","562.37","563.58","561.83","-","0.16%"
"Aug 12, 2021","562.42","561.91","562.42","560.47","-","0.11%"
"Aug 11, 2021","561.83","560.14","562.17","560.01","-","0.30%"
"Aug 10, 2021","560.16","559.47","561.06","559.37","-","0.11%"
"Aug 09, 2021","559.54","560.04","560.18","558.84","-","-0.03%"
"Aug 06, 2021","559.73","560.62","560.91","559.08","-","-0.19%"
"Aug 05, 2021","560.82","558.44","560.82","558.06","-","0.42%"
"Aug 04, 2021","558.45","559.22","560.34","558.12","-","-0.10%"
"Aug 03, 2021","558.99","556.59","559.21","554.84","-","0.40%"
"Aug 02, 2021","556.79","554.52","559.15","554.46","-","0.41%"
"Jul 30, 2021","554.49","558.59","558.65","553.87","-","-0.71%"
"Jul 29, 2021","558.47","554.55","559.52","554.52","-","0.83%"
"Jul 28, 2021","553.87","552.72","555.49","551.63","-","0.18%"
"Jul 27, 2021","552.90","555.96","556.56","550.39","-","-0.56%"
"Jul 26, 2021","555.99","556.34","557.01","554.84","-","-0.04%"
"Jul 23, 2021","556.23","553.06","556.54","552.49","-","0.55%"
"Jul 22, 2021","553.16","551.38","553.46","551.32","-","0.39%"
"Jul 21, 2021","551.02","546.25","551.44","546.12","-","0.93%"
"Jul 20, 2021","545.92","541.39","547.35","540.03","-","0.81%"
"Jul 19, 2021","541.52","550.32","550.37","539.35","-","-1.62%"
"Jul 16, 2021","550.42","553.71","554.44","549.85","-","-0.62%"
"Jul 15, 2021","553.83","555.97","556.16","551.87","-","-0.35%"
"Jul 14, 2021","555.76","555.60","558.03","555.05","-","-0.07%"
"Jul 13, 2021","556.16","557.14","558.15","555.38","-","-0.18%"
"Jul 12, 2021","557.16","554.53","557.23","554.49","-","0.52%"
